"contrast","group","session","congruency","odds.ratio","SE","df","null","z.ratio","p.value"
"switch_cost","old","1","congruent",0.536573279736164,0.0866328640009282,Inf,1,-3.85586747246108,0.000115319954444625
"switch_cost","young","1","congruent",0.808889725158837,0.106359209657851,Inf,1,-1.61302054818773,0.106740043632184
"switch_cost","old","2","congruent",0.574543285615285,0.125095227065455,Inf,1,-2.54526342357459,0.0109195328037124
"switch_cost","young","2","congruent",1.04014783422814,0.154873398835317,Inf,1,0.264365506833344,0.791498287849741
"switch_cost","old","1","incongruent",0.386500640618991,0.0437634541896677,Inf,1,-8.39549627663096,4.63930503479193e-17
"switch_cost","young","1","incongruent",0.822511140604554,0.0856182709284755,Inf,1,-1.87708913668553,0.0605058780472872
"switch_cost","old","2","incongruent",0.561859410202413,0.0671287975870936,Inf,1,-4.82526122392803,1.39819885888514e-06
"switch_cost","young","2","incongruent",0.848671547621021,0.0912438568818184,Inf,1,-1.52615869058938,0.126970348485437
