"group","session","congruency","contrast","SE_diff","p.value_prob","delta_logit","SE_delta","OR","OR_low","OR_high","p.value_or"
"old","1","congruent","switch_cost",0.0866328640009282,"<.001",-0.622552137727723,0.161455792289035,0.536573279736164,0.391016511646201,0.736313879213701,"<.001"
"old","1","incongruent","switch_cost",0.0437634541896677,"<.001",-0.950621753468346,0.113229965465463,0.386500640618991,0.309575744250252,0.482540211800748,"<.001"
"old","2","congruent","switch_cost",0.125095227065455,"0.011",-0.554179839683417,0.217729856387564,0.574543285615285,0.374962087469865,0.880355636147179,"0.011"
"old","2","incongruent","switch_cost",0.0671287975870936,"<.001",-0.576503620165806,0.119476147178722,0.561859410202413,0.444557057633527,0.710113564529756,"<.001"
"young","1","congruent","switch_cost",0.106359209657851,"0.107",-0.212092681277949,0.131487897978882,0.808889725158837,0.62512167929888,1.04668036501531,"0.107"
"young","1","incongruent","switch_cost",0.0856182709284755,"0.061",-0.195393251626372,0.104093752293185,0.822511140604554,0.670710952456392,1.00866785303106,"0.061"
"young","2","congruent","switch_cost",0.154873398835317,"0.791",0.0393628513474568,0.14889556439854,1.04014783422814,0.776877611736544,1.39263572627755,"0.791"
"young","2","incongruent","switch_cost",0.0912438568818184,"0.127",-0.164083037228514,0.10751374561524,0.848671547621021,0.687419890847449,1.04774884365587,"0.127"
