"group","session","congruency","contrast","estimate","SE","df","z.ratio","p.value","RT_ratio","RT_ratio_low","RT_ratio_hi","RT_pct","RT_pct_low","RT_pct_high"
"old","1","congruent","switch_cost",0.0929825875381514,0.00662674459437045,Inf,14.0314125909035,"<.001",1.09744262592386,1.08328075010748,1.11178964185891,9.74426259238572,8.32807501074795,11.1789641858915
"young","1","congruent","switch_cost",0.0782900784143077,0.00663501557233488,Inf,11.7995319770979,"<.001",1.08143631450678,1.06746368615916,1.0955918383903,8.14363145067769,6.74636861591611,9.5591838390299
"old","2","congruent","switch_cost",0.0733069124139742,0.00659026678575459,Inf,11.1235121122006,"<.001",1.0760607426401,1.06225073242281,1.09005029274979,7.60607426400999,6.22507324228079,9.00502927497924
"young","2","congruent","switch_cost",0.0443166177955174,0.00661749430211544,Inf,6.69688794161115,"<.001",1.04531326728161,1.03184279905908,1.05895958933993,4.5313267281615,3.18427990590782,5.89595893399295
"old","1","incongruent","switch_cost",0.085219007769783,0.00667140939943404,Inf,12.7737637832588,"<.001",1.08895553030684,1.0748090795056,1.10328817424143,8.89555303068395,7.48090795056024,10.3288174241432
"young","1","incongruent","switch_cost",0.0737799350733824,0.00666542867707529,Inf,11.069045765524,"<.001",1.07656986415778,1.06259676952198,1.09072670429263,7.65698641577823,6.25967695219785,9.0726704292633
"old","2","incongruent","switch_cost",0.0806202604274847,0.00663929608162325,Inf,12.1428927760326,"<.001",1.08395919620046,1.06994499446193,1.09815695676807,8.3959196200458,6.9944994461931,9.81569567680691
"young","2","incongruent","switch_cost",0.0479782233295627,0.00665335176101582,Inf,7.21113583843303,"<.001",1.04914780812965,1.03555514393959,1.06291888920157,4.91478081296459,3.55551439395887,6.29188892015706
