"group","session","congruency","m","sd","n","se"
"old","1","congruent",-0.00924890763594512,0.0188831560823865,47,0.00275439140141072
"old","1","incongruent",-0.0339249353537327,0.0471259217950751,47,0.00687402218196907
"old","2","congruent",-0.00395122232639814,0.0135246779586628,47,0.00197277703545211
"old","2","incongruent",-0.0138720442420126,0.0280934119563873,47,0.00409784529616529
"young","1","congruent",-0.00458440596303185,0.0238145189935085,47,0.00347370461051456
"young","1","incongruent",-0.00623133094484534,0.0274358431799996,47,0.00400192903218821
"young","2","congruent",0.00127592624785972,0.0170056584317614,47,0.00248053022256497
"young","2","incongruent",-0.00474176450172112,0.025290625883809,47,0.00368901692951824
