"contrast","group","session","congruency","estimate","SE","df","z.ratio","p.value"
"switch_cost","old","1","congruent",0.0929825875381514,0.00662674459437045,Inf,14.0314125909035,1.00136916890667e-44
"switch_cost","young","1","congruent",0.0782900784143077,0.00663501557233488,Inf,11.7995319770979,3.92488291597453e-32
"switch_cost","old","2","congruent",0.0733069124139742,0.00659026678575459,Inf,11.1235121122006,9.64008183639482e-29
"switch_cost","young","2","congruent",0.0443166177955174,0.00661749430211544,Inf,6.69688794161115,2.12904752076106e-11
"switch_cost","old","1","incongruent",0.085219007769783,0.00667140939943404,Inf,12.7737637832588,2.29769327322755e-37
"switch_cost","young","1","incongruent",0.0737799350733824,0.00666542867707529,Inf,11.069045765524,1.77278213287301e-28
"switch_cost","old","2","incongruent",0.0806202604274847,0.00663929608162325,Inf,12.1428927760326,6.25739917340933e-34
"switch_cost","young","2","incongruent",0.0479782233295627,0.00665335176101582,Inf,7.21113583843303,5.54870669115897e-13
