"group","session","congruency","m","sd","n","se"
"old","1","congruent",0.0926410825412278,0.0453929379973749,47,0.00662124051505155
"old","1","incongruent",0.0845541095920186,0.0550750244847223,47,0.00803351797821036
"old","2","congruent",0.0731450062390142,0.0516928970021789,47,0.00754018398172436
"old","2","incongruent",0.0808047195793486,0.0446331960600746,47,0.00651042076382664
"young","1","congruent",0.0783293882315701,0.0544569323945309,47,0.00794335998072967
"young","1","incongruent",0.0741453528628612,0.0441895979322237,47,0.00644571532667919
"young","2","congruent",0.0440365874634854,0.042219676402432,47,0.0061583727394846
"young","2","incongruent",0.047718632584559,0.0381127375275937,47,0.00555931413542394
